address,country_code,house_number,street,town,state,postal_code,country
"3 PERKINS ROAD, FRANKTON, QUEENSTOWN",NZ,3,PERKINS ROAD,QUEENSTOWN,,,
"118 GORDON ROAD, MOSGIEL",NZ,118,GORDON ROAD,MOSGIEL,,,
"21 HAWTHORN AVENUE, MORNINGTON, DUNEDIN",NZ,21,HAWTHORN AVENUE,DUNEDIN,,,
"53 NELSON STREET, FORBURY, DUNEDIN",NZ,53,NELSON STREET,DUNEDIN,,,
"87A MANOR PLACE, DUNEDIN CENTRAL, DUNEDIN",NZ,87A,MANOR PLACE,DUNEDIN,,,
"133 GLENPARK AVENUE, MARYHILL, DUNEDIN",NZ,133,GLENPARK AVENUE,DUNEDIN,,,
"252 YORK PLACE, DUNEDIN CENTRAL, DUNEDIN",NZ,252,YORK PLACE,DUNEDIN,,,
"78 SOUTH ROAD, THE GLEN, DUNEDIN",NZ,78,SOUTH ROAD,DUNEDIN,,,
"83 THE SQUARE, PALMERSTON NORTH",NZ,83,THE SQUARE,PALMERSTON NORTH,,,
"43 HIGH STREET, MOSGIEL",NZ,43,HIGH STREET,MOSGIEL,,,
"41 AUBREY ROAD, WANAKA",NZ,41,AUBREY ROAD,WANAKA,,,
"18 STATION ROAD, TAPANUI",NZ,18,STATION ROAD,TAPANUI,,,
"2 MOTU STREET, SAINT CLAIR, DUNEDIN",NZ,2,MOTU STREET,DUNEDIN,,,
"15 GREGG STREET, ALEXANDRA",NZ,15,GREGG STREET,ALEXANDRA,,,
"54 NORFOLK STREET, ARROWTOWN",NZ,54,NORFOLK STREET,ARROWTOWN,,,
"5 CLEMATIS COURT, WANAKA",NZ,5,CLEMATIS COURT,WANAKA,,,
"10 MANSOR COURT, CROMWELL",NZ,10,MANSOR COURT,CROMWELL,,,
"1 VON PLACE, FERNHILL, QUEENSTOWN",NZ,1,VON PLACE,QUEENSTOWN,,,
"62A PARK STREET, QUEENSTOWN",NZ,62A,PARK STREET,QUEENSTOWN,,,
"2 EDINBURGH PLACE, BALCLUTHA",NZ,2,EDINBURGH PLACE,BALCLUTHA,,,
"121 KAIKORAI VALLEY ROAD, GLENROSS, DUNEDIN",NZ,121,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"125 WILLIAM STREET, PETONE, LOWER HUTT",NZ,125,WILLIAM STREET,LOWER HUTT,,,
"21 VISCOUNT ROAD, WALDRONVILLE, DUNEDIN",NZ,21,VISCOUNT ROAD,DUNEDIN,,,
"3 MUIR STREET, GREEN ISLAND, DUNEDIN",NZ,3,MUIR STREET,DUNEDIN,,,
"36 ANTIMONY CRESCENT, CROMWELL",NZ,36,ANTIMONY CRESCENT,CROMWELL,,,
"16 FOYLE STREET, NASEBY",NZ,16,FOYLE STREET,NASEBY,,,
"16 THAMES STREET, MOSGIEL",NZ,16,THAMES STREET,MOSGIEL,,,
"8 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,8,FORFAR STREET,DUNEDIN,,,
"3 LANCASTER STREET, LAWRENCE",NZ,3,LANCASTER STREET,LAWRENCE,,,
"29 CENTENNIAL AVENUE, MILTON",NZ,29,CENTENNIAL AVENUE,MILTON,,,
"35 PASSMORE CRESCENT, MAORI HILL, DUNEDIN",NZ,35,PASSMORE CRESCENT,DUNEDIN,,,
"30 LANDSLIP LANE, WAIPAHI, GORE",NZ,30,LANDSLIP LANE,GORE,,,
