address,country_code,house_number,street,town,state,postal_code,country
"26 COCKERELL STREET, BROCKVILLE, DUNEDIN",NZ,26,COCKERELL STREET,DUNEDIN,,,
"19 DERBY STREET, GREEN ISLAND, DUNEDIN",NZ,19,DERBY STREET,DUNEDIN,,,
"8 MCBRIDE STREET, SOUTH DUNEDIN, DUNEDIN",NZ,8,MCBRIDE STREET,DUNEDIN,,,
"5 LOMOND STREET, CAVERSHAM, DUNEDIN",NZ,5,LOMOND STREET,DUNEDIN,,,
"21 FONT STREET, KAIKORAI, DUNEDIN",NZ,21,FONT STREET,DUNEDIN,,,
"2 FOX STREET, ALEXANDRA",NZ,2,FOX STREET,ALEXANDRA,,,
"11 PINES ROAD, ALEXANDRA",NZ,11,PINES ROAD,ALEXANDRA,,,
"11 TIPPERARY PLACE, ARROWTOWN",NZ,11,TIPPERARY PLACE,ARROWTOWN,,,
"117 ARTHURS POINT ROAD, ARTHURS POINT, QUEENSTOWN",NZ,117,ARTHURS POINT ROAD,QUEENSTOWN,,,
"49 GLEN ROAD, MORNINGTON, DUNEDIN",NZ,49,GLEN ROAD,DUNEDIN,,,
"8 ENTERPRISE STREET, ALEXANDRA",NZ,8,ENTERPRISE STREET,ALEXANDRA,,,
"15 GLENELG STREET, BRADFORD, DUNEDIN",NZ,15,GLENELG STREET,DUNEDIN,,,
"14 STRODE STREET, HALFWAY BUSH, DUNEDIN",NZ,14,STRODE STREET,DUNEDIN,,,
"112 GORGE ROAD, QUEENSTOWN",NZ,112,GORGE ROAD,QUEENSTOWN,,,
"47 FREYBERG AVENUE, KUROW",NZ,47,FREYBERG AVENUE,KUROW,,,
"45 DUNSTAN ROAD, ALEXANDRA",NZ,45,DUNSTAN ROAD,ALEXANDRA,,,
"1 RATA COURT, MOSGIEL",NZ,1,RATA COURT,MOSGIEL,,,
"22 NICHOLSON STREET, FORBURY, DUNEDIN",NZ,22,NICHOLSON STREET,DUNEDIN,,,
"19 TUAPEKA WEST ROAD, LAWRENCE",NZ,19,TUAPEKA WEST ROAD,LAWRENCE,,,
"25 ENTERPRISE STREET, ALEXANDRA",NZ,25,ENTERPRISE STREET,ALEXANDRA,,,
"19 CROSS STREET, MARYHILL, DUNEDIN",NZ,19,CROSS STREET,DUNEDIN,,,
"18 CRAIG HENDRY STREET, CONCORD, DUNEDIN",NZ,18,CRAIG HENDRY STREET,DUNEDIN,,,
"21 HASTINGS STREET, WAKARI, DUNEDIN",NZ,21,HASTINGS STREET,DUNEDIN,,,
"42 EASTBOURNE STREET, CAVERSHAM, DUNEDIN",NZ,42,EASTBOURNE STREET,DUNEDIN,,,
"42 COLE STREET, CAVERSHAM, DUNEDIN",NZ,42,COLE STREET,DUNEDIN,,,
"18 BLACKFORD STREET, BALACLAVA, DUNEDIN",NZ,18,BLACKFORD STREET,DUNEDIN,,,
"178 CLYDE STREET, BALCLUTHA",NZ,178,CLYDE STREET,BALCLUTHA,,,
"28 BELL CRESCENT, CONCORD, DUNEDIN",NZ,28,BELL CRESCENT,DUNEDIN,,,
"4 THE TERRACE, QUEENSTOWN",NZ,4,THE TERRACE,QUEENSTOWN,,,
"1 MELMORE TERRACE, CROMWELL",NZ,1,MELMORE TERRACE,CROMWELL,,,
"5 FUSCHIA PLACE, MOSGIEL",NZ,5,FUSCHIA PLACE,MOSGIEL,,,
"38 ANDREWS ROAD, QUEENSTOWN",NZ,38,ANDREWS ROAD,QUEENSTOWN,,,
"295 MANUKA GORGE HIGHWAY, TABLE HILL, MILTON",NZ,295,MANUKA GORGE HIGHWAY,MILTON,,,
"4 GREENHITHE STREET, WAIHOLA, MILTON",NZ,4,GREENHITHE STREET,MILTON,,,
"24 ESPLANADE, SAINT CLAIR, DUNEDIN",NZ,24,ESPLANADE,DUNEDIN,,,
"4 ALFRED PLACE, FAIRFIELD, DUNEDIN",NZ,4,ALFRED PLACE,DUNEDIN,,,
"22 ONGARE POINT ROAD, TAHAWAI",NZ,22,ONGARE POINT ROAD,TAHAWAI,,,
"100 ASHMORE STREET, HALFWAY BUSH, DUNEDIN",NZ,100,ASHMORE STREET,DUNEDIN,,,
"116 BEDFORD STREET, SAINT CLAIR, DUNEDIN",NZ,116,BEDFORD STREET,DUNEDIN,,,
"157 HILLHEAD ROAD, CORSTORPHINE, DUNEDIN",NZ,157,HILLHEAD ROAD,DUNEDIN,,,
"32 KING STREET, MOSGIEL",NZ,32,KING STREET,MOSGIEL,,,
"1 TOUGH ROAD, MILTON",NZ,1,TOUGH ROAD,MILTON,,,
"17 CARDIGAN STREET, ARROWTOWN",NZ,17,CARDIGAN STREET,ARROWTOWN,,,
"2 ORCHARD DRIVE, ALEXANDRA",NZ,2,ORCHARD DRIVE,ALEXANDRA,,,
"41 ADAMSON DRIVE, ARROWTOWN",NZ,41,ADAMSON DRIVE,ARROWTOWN,,,
"21 MOUNT IRON DRIVE, WANAKA",NZ,21,MOUNT IRON DRIVE,WANAKA,,,
"206 FERNHILL ROAD, SUNSHINE BAY, QUEENSTOWN",NZ,206,FERNHILL ROAD,QUEENSTOWN,,,
"444 FRANKTON-LADIES MILE HIGHWAY, LAKE HAYES, QUEENSTOWN",NZ,444,FRANKTON-LADIES MILE HIGHWAY,QUEENSTOWN,,,
"298 HEDGELEY ROAD, ESKDALE, NAPIER",NZ,298,HEDGELEY ROAD,NAPIER,,,
"67 ARTHUR STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,67,ARTHUR STREET,DUNEDIN,,,
"14 COLERIDGE STREET, KAIKORAI, DUNEDIN",NZ,14,COLERIDGE STREET,DUNEDIN,,,
"4 SARGOOD DRIVE, WANAKA",NZ,4,SARGOOD DRIVE,WANAKA,,,
"11A GREENHILL AVENUE, WAKARI, DUNEDIN",NZ,11A,GREENHILL AVENUE,DUNEDIN,,,
"19 FAIRFAX STREET, MAORI HILL, DUNEDIN",NZ,19,FAIRFAX STREET,DUNEDIN,,,
"29 TEIGNMOUTH STREET, ABBOTSFORD, DUNEDIN",NZ,29,TEIGNMOUTH STREET,DUNEDIN,,,
"1073 TAHAKOPA VALLEY ROAD, TAHAKOPA, OWAKA",NZ,1073,TAHAKOPA VALLEY ROAD,OWAKA,,,
"10 MOLYNEUX AVENUE, CROMWELL",NZ,10,MOLYNEUX AVENUE,CROMWELL,,,
"42 LANARK STREET, BALCLUTHA",NZ,42,LANARK STREET,BALCLUTHA,,,
"60 BEACON POINT ROAD, WANAKA",NZ,60,BEACON POINT ROAD,WANAKA,,,
"280 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,280,BROCKVILLE ROAD,DUNEDIN,,,
"579 BARKERS ROAD, LOBURN",NZ,579,BARKERS ROAD,LOBURN,,,
"24 BUTE STREET, RANFURLY",NZ,24,BUTE STREET,RANFURLY,,,
"42 PRESTWICK STREET, MAORI HILL, DUNEDIN",NZ,42,PRESTWICK STREET,DUNEDIN,,,
"16 LEWIS ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,16,LEWIS ROAD,QUEENSTOWN,,,
"121 UNION STREET, MILTON",NZ,121,UNION STREET,MILTON,,,
"12 CROSSLEIGH CRESCENT, BALCLUTHA",NZ,12,CROSSLEIGH CRESCENT,BALCLUTHA,,,
"15 SOUTH ROAD, KENSINGTON, DUNEDIN",NZ,15,SOUTH ROAD,DUNEDIN,,,
"1 CORNISH PLACE, CROMWELL",NZ,1,CORNISH PLACE,CROMWELL,,,
"10 GREGG STREET, ALEXANDRA",NZ,10,GREGG STREET,ALEXANDRA,,,
"482 SHANKS ROAD, PARK HILL, TAPANUI",NZ,482,SHANKS ROAD,TAPANUI,,,
"290 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,290,MIDDLETON ROAD,DUNEDIN,,,
"198 UNION STREET, MILTON",NZ,198,UNION STREET,MILTON,,,
"3 ELIZABETH AVENUE, EAST TAIERI, MOSGIEL",NZ,3,ELIZABETH AVENUE,MOSGIEL,,,
"6 HARVEY TERRACE, BALCLUTHA",NZ,6,HARVEY TERRACE,BALCLUTHA,,,
"21 WAKATIPU HEIGHTS, QUEENSTOWN",NZ,21,WAKATIPU HEIGHTS,QUEENSTOWN,,,
"20 GOODALL STREET, MOSGIEL",NZ,20,GOODALL STREET,MOSGIEL,,,
"33 GUNN ROAD, ALBERT TOWN, WANAKA",NZ,33,GUNN ROAD,WANAKA,,,
"23 GILMERTON STREET, CORSTORPHINE, DUNEDIN",NZ,23,GILMERTON STREET,DUNEDIN,,,
"26 HIGHVIEW DRIVE, WAKATU, NELSON",NZ,26,HIGHVIEW DRIVE,NELSON,,,
"85 CEDAR DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,85,CEDAR DRIVE,QUEENSTOWN,,,
"314 GLADSTONE ROAD, LAKE HAWEA",NZ,314,GLADSTONE ROAD,LAKE HAWEA,,,
"4 VEINT CRESCENT, QUEENSTOWN",NZ,4,VEINT CRESCENT,QUEENSTOWN,,,
"9 PRAWL STREET, KAITANGATA",NZ,9,PRAWL STREET,KAITANGATA,,,
"17 BLAIR STREET, KENMURE, DUNEDIN",NZ,17,BLAIR STREET,DUNEDIN,,,
"1D TYNE STREET, MOSGIEL",NZ,1D,TYNE STREET,MOSGIEL,,,
"28 HOBART STREET, QUEENSTOWN",NZ,28,HOBART STREET,QUEENSTOWN,,,
"28 BROWN STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,28,BROWN STREET,DUNEDIN,,,
"124 MOUNT IRON DRIVE, WANAKA",NZ,124,MOUNT IRON DRIVE,WANAKA,,,
"3 SPEY STREET, MOSGIEL",NZ,3,SPEY STREET,MOSGIEL,,,
"70 NORTHUMBERLAND STREET, TAPANUI",NZ,70,NORTHUMBERLAND STREET,TAPANUI,,,
"1 BOUNDARY STREET, QUEENSTOWN",NZ,1,BOUNDARY STREET,QUEENSTOWN,,,
"130 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,130,FORFAR STREET,DUNEDIN,,,
"91 HUKARERE STATION ROAD, PARK HILL, TAPANUI",NZ,91,HUKARERE STATION ROAD,TAPANUI,,,
"77 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,77,CORSTORPHINE ROAD,DUNEDIN,,,
"60 CHURCH ROAD, PUKETE, HAMILTON",NZ,60,CHURCH ROAD,HAMILTON,,,
"142 EASTHER CRESCENT, KEW, DUNEDIN",NZ,142,EASTHER CRESCENT,DUNEDIN,,,
"11 CRAMMOND AVENUE, CORSTORPHINE, DUNEDIN",NZ,11,CRAMMOND AVENUE,DUNEDIN,,,
"28 SOUTH ROAD, KENSINGTON, DUNEDIN",NZ,28,SOUTH ROAD,DUNEDIN,,,
"17 TORQUAY STREET, KAITANGATA",NZ,17,TORQUAY STREET,KAITANGATA,,,
"78 CENTENNIAL AVENUE, ALEXANDRA",NZ,78,CENTENNIAL AVENUE,ALEXANDRA,,,
"20 STAFFORD STREET, RANFURLY",NZ,20,STAFFORD STREET,RANFURLY,,,
"52 BRAEMAR STREET, MOSGIEL",NZ,52,BRAEMAR STREET,MOSGIEL,,,
"608 KAIKORAI VALLEY ROAD, KENMURE, DUNEDIN",NZ,608,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"138 BALMACEWEN ROAD, WAKARI, DUNEDIN",NZ,138,BALMACEWEN ROAD,DUNEDIN,,,
"175 CARROLL STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,175,CARROLL STREET,DUNEDIN,,,
"24 CAIRNMUIR CRESCENT, CROMWELL",NZ,24,CAIRNMUIR CRESCENT,CROMWELL,,,
"35 HUNTLY ROAD, OUTRAM",NZ,35,HUNTLY ROAD,OUTRAM,,,
"663 CHINAMAN FLAT ROAD, CRAIGELLACHIE, LAWRENCE",NZ,663,CHINAMAN FLAT ROAD,LAWRENCE,,,
"20 MCMILLAN ROAD, ARTHURS POINT, QUEENSTOWN",NZ,20,MCMILLAN ROAD,QUEENSTOWN,,,
"251 ADAMS FLAT ROAD, CRICHTON, MILTON",NZ,251,ADAMS FLAT ROAD,MILTON,,,
"218 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,218,BROCKVILLE ROAD,DUNEDIN,,,
"37 BROWNVILLE CRESCENT, MAORI HILL, DUNEDIN",NZ,37,BROWNVILLE CRESCENT,DUNEDIN,,,
"171 SCOTLAND STREET, ROXBURGH",NZ,171,SCOTLAND STREET,ROXBURGH,,,
"38B RANUI TERRACE, TAWA, WELLINGTON",NZ,38B,RANUI TERRACE,WELLINGTON,,,
"1A CHURCH STREET, GREEN ISLAND, DUNEDIN",NZ,1A,CHURCH STREET,DUNEDIN,,,
"35 HOCKEN STREET, KENMURE, DUNEDIN",NZ,35,HOCKEN STREET,DUNEDIN,,,
"70 PUKAPUKA ROAD, OAKURA, HIKURANGI",NZ,70,PUKAPUKA ROAD,HIKURANGI,,,
"185 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,185,BROCKVILLE ROAD,DUNEDIN,,,
"35 BUCKINGHAM STREET, ARROWTOWN",NZ,35,BUCKINGHAM STREET,ARROWTOWN,,,
"41 INNISCORT STREET, CROMWELL",NZ,41,INNISCORT STREET,CROMWELL,,,
"6 BRAEMAR STREET, MOSGIEL",NZ,6,BRAEMAR STREET,MOSGIEL,,,
"16B BEAUCHAMP STREET, TAWA, WELLINGTON",NZ,16B,BEAUCHAMP STREET,WELLINGTON,,,
"972 HARINGTON POINT ROAD, HARINGTON POINT, DUNEDIN",NZ,972,HARINGTON POINT ROAD,DUNEDIN,,,
"84 LONDON STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,84,LONDON STREET,DUNEDIN,,,
"81 MOLYNEUX AVENUE, CROMWELL",NZ,81,MOLYNEUX AVENUE,CROMWELL,,,
"266 CLYDE STREET, BALCLUTHA",NZ,266,CLYDE STREET,BALCLUTHA,,,
"165 MELBOURNE STREET, SOUTH DUNEDIN, DUNEDIN",NZ,165,MELBOURNE STREET,DUNEDIN,,,
"9 BELL AVENUE, CROMWELL",NZ,9,BELL AVENUE,CROMWELL,,,
"22 BRUNEL STREET, MORNINGTON, DUNEDIN",NZ,22,BRUNEL STREET,DUNEDIN,,,
"73 CORKS ROAD, TIKIPUNGA, WHANGAREI",NZ,73,CORKS ROAD,WHANGAREI,,,
"1274 GLENORCHY-PARADISE ROAD, GLENORCHY",NZ,1274,GLENORCHY-PARADISE ROAD,GLENORCHY,,,
"21 HILLVIEW PLACE, WANAKA",NZ,21,HILLVIEW PLACE,WANAKA,,,
"23 PERKINS ROAD, FRANKTON, QUEENSTOWN",NZ,23,PERKINS ROAD,QUEENSTOWN,,,
"11 DALL STREET, ABBOTSFORD, DUNEDIN",NZ,11,DALL STREET,DUNEDIN,,,
"58 SHANNON STREET, ALEXANDRA",NZ,58,SHANNON STREET,ALEXANDRA,,,
"70 AJAX STREET, MILTON",NZ,70,AJAX STREET,MILTON,,,
"30 TAMBLYN DRIVE, LAKE ROXBURGH VILLAGE, ROXBURGH",NZ,30,TAMBLYN DRIVE,ROXBURGH,,,
"69 PLAYFAIR STREET, CAVERSHAM, DUNEDIN",NZ,69,PLAYFAIR STREET,DUNEDIN,,,
"265 GLADSTONE ROAD NORTH, MOSGIEL",NZ,265,GLADSTONE ROAD NORTH,MOSGIEL,,,
"152 OWAKA VALLEY ROAD, KATEA, OWAKA",NZ,152,OWAKA VALLEY ROAD,OWAKA,,,
"27 PASSMORE CRESCENT, MAORI HILL, DUNEDIN",NZ,27,PASSMORE CRESCENT,DUNEDIN,,,
"10 OLD BRIGHTON ROAD, FAIRFIELD, DUNEDIN",NZ,10,OLD BRIGHTON ROAD,DUNEDIN,,,
"42 SUBURB STREET, QUEENSTOWN",NZ,42,SUBURB STREET,QUEENSTOWN,,,
"44 OTAKOU GOLF COURSE ROAD, OTAKOU, DUNEDIN",NZ,44,OTAKOU GOLF COURSE ROAD,DUNEDIN,,,
"21 OLD BRIDGE ROAD, BRIDGE HILL, ALEXANDRA",NZ,21,OLD BRIDGE ROAD,ALEXANDRA,,,
"29 NORTHLAND STREET, RANFURLY",NZ,29,NORTHLAND STREET,RANFURLY,,,
"134 CANNINGTON ROAD, MAORI HILL, DUNEDIN",NZ,134,CANNINGTON ROAD,DUNEDIN,,,
"283 MOUNT WALLACE ROAD, BENHAR, BALCLUTHA",NZ,283,MOUNT WALLACE ROAD,BALCLUTHA,,,
"108 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,108,MAIN ROAD,DUNEDIN,,,
"267 SOUTH ROAD, CAVERSHAM, DUNEDIN",NZ,267,SOUTH ROAD,DUNEDIN,,,
"8 PRETORIA AVENUE, SAINT CLAIR, DUNEDIN",NZ,8,PRETORIA AVENUE,DUNEDIN,,,
"13 SALCOMBE STREET, KAITANGATA",NZ,13,SALCOMBE STREET,KAITANGATA,,,
"66 DAVID STREET, CAVERSHAM, DUNEDIN",NZ,66,DAVID STREET,DUNEDIN,,,
"312 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,312,MAIN SOUTH ROAD,DUNEDIN,,,
"15 MOOLTAN STREET, HALFWAY BUSH, DUNEDIN",NZ,15,MOOLTAN STREET,DUNEDIN,,,
"213 MCKEICH ROAD, FORSYTH, LAWRENCE",NZ,213,MCKEICH ROAD,LAWRENCE,,,
"4 AYR STREET, MOSGIEL",NZ,4,AYR STREET,MOSGIEL,,,
"21 TAMBLYN DRIVE, LAKE ROXBURGH VILLAGE, ROXBURGH",NZ,21,TAMBLYN DRIVE,ROXBURGH,,,
"45 BARR STREET, KENMURE, DUNEDIN",NZ,45,BARR STREET,DUNEDIN,,,
"18 ALBERT DRIVE, CLYDE",NZ,18,ALBERT DRIVE,CLYDE,,,
"4 ROY CRESCENT, CONCORD, DUNEDIN",NZ,4,ROY CRESCENT,DUNEDIN,,,
"12 PROSPECT BANK, WAKARI, DUNEDIN",NZ,12,PROSPECT BANK,DUNEDIN,,,
"83 RUSSELL STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,83,RUSSELL STREET,DUNEDIN,,,
"38 NORMAN TERRACE, WANAKA",NZ,38,NORMAN TERRACE,WANAKA,,,
"3 KOWHAI STREET, KAKA POINT",NZ,3,KOWHAI STREET,KAKA POINT,,,
"85 UNION STREET, MILTON",NZ,85,UNION STREET,MILTON,,,
"2204 MAHINERANGI ROAD, WAIPORI, OUTRAM",NZ,2204,MAHINERANGI ROAD,OUTRAM,,,
"9 SHEEN STREET, ROSLYN, DUNEDIN",NZ,9,SHEEN STREET,DUNEDIN,,,
"22 BRACKEN STREET, ARROWTOWN",NZ,22,BRACKEN STREET,ARROWTOWN,,,
"11 CHAPEL STREET, KAIKORAI, DUNEDIN",NZ,11,CHAPEL STREET,DUNEDIN,,,
"3 BUSH ROAD, MOSGIEL",NZ,3,BUSH ROAD,MOSGIEL,,,
"169 HILLSIDE ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,169,HILLSIDE ROAD,DUNEDIN,,,
"7 COBDEN STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,7,COBDEN STREET,DUNEDIN,,,
"8 DAVIES STREET, CONCORD, DUNEDIN",NZ,8,DAVIES STREET,DUNEDIN,,,
"19 FOX'S TERRACE, ARROWTOWN",NZ,19,FOX'S TERRACE,ARROWTOWN,,,
"52 COLUMBA AVENUE, CALTON HILL, DUNEDIN",NZ,52,COLUMBA AVENUE,DUNEDIN,,,
"8 ORPINE COURT, CROMWELL",NZ,8,ORPINE COURT,CROMWELL,,,
"321 HIGHCLIFF ROAD, HIGHCLIFF, DUNEDIN",NZ,321,HIGHCLIFF ROAD,DUNEDIN,,,
"41 RATA DRIVE, OTEMATATA",NZ,41,RATA DRIVE,OTEMATATA,,,
"27 FITZROY STREET, CAVERSHAM, DUNEDIN",NZ,27,FITZROY STREET,DUNEDIN,,,
"3 KINSMAN STREET, KAIKORAI, DUNEDIN",NZ,3,KINSMAN STREET,DUNEDIN,,,
"41 FULTON ROAD, GLENLEITH, DUNEDIN",NZ,41,FULTON ROAD,DUNEDIN,,,
"277 HELENSBURGH ROAD, HELENSBURGH, DUNEDIN",NZ,277,HELENSBURGH ROAD,DUNEDIN,,,
"85 CARLYLE STREET, LEAMINGTON, CAMBRIDGE",NZ,85,CARLYLE STREET,CAMBRIDGE,,,
"33B DEVON STREET, ARROWTOWN",NZ,33B,DEVON STREET,ARROWTOWN,,,
"35 LOYALTY STREET, FORBURY, DUNEDIN",NZ,35,LOYALTY STREET,DUNEDIN,,,
"391 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,391,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"16 BENMORE PLACE, OMARAMA, OMARAMA",NZ,16,BENMORE PLACE,OMARAMA,,,
"8A MERLIN STREET, ROSLYN, DUNEDIN",NZ,8A,MERLIN STREET,DUNEDIN,,,
"57 LEES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,57,LEES STREET,DUNEDIN,,,
"1 PREMIER PLACE, ARROWTOWN",NZ,1,PREMIER PLACE,ARROWTOWN,,,
"7 RASTUS BURN LANE, FRANKTON, QUEENSTOWN",NZ,7,RASTUS BURN LANE,QUEENSTOWN,,,
"3B TUDOR GROVE, WHITIANGA",NZ,3B,TUDOR GROVE,WHITIANGA,,,
"12 WATERSIDE DRIVE, PYES PA, TAURANGA",NZ,12,WATERSIDE DRIVE,TAURANGA,,,
"307 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,307,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"45 INNISCORT STREET, CROMWELL",NZ,45,INNISCORT STREET,CROMWELL,,,
"115 BEACON POINT ROAD, WANAKA",NZ,115,BEACON POINT ROAD,WANAKA,,,
"1 ARONUI ROAD, BRIDGE HILL, ALEXANDRA",NZ,1,ARONUI ROAD,ALEXANDRA,,,
"10 ORCHARD STREET, CLYDE",NZ,10,ORCHARD STREET,CLYDE,,,
"20 LYNAS STREET, OUTRAM",NZ,20,LYNAS STREET,OUTRAM,,,
"6 VISCOUNT ROAD, WALDRONVILLE, DUNEDIN",NZ,6,VISCOUNT ROAD,DUNEDIN,,,
"25 STUART STREET, OWAKA",NZ,25,STUART STREET,OWAKA,,,
"38 MURRAY STREET, MOSGIEL",NZ,38,MURRAY STREET,MOSGIEL,,,
"25 STIRLING CRESCENT, MOSGIEL",NZ,25,STIRLING CRESCENT,MOSGIEL,,,
"2 HECTOR STREET, BRADFORD, DUNEDIN",NZ,2,HECTOR STREET,DUNEDIN,,,
"2 ELLIS STREET, ALEXANDRA",NZ,2,ELLIS STREET,ALEXANDRA,,,
"1 MARINE TERRACE, KAKA POINT",NZ,1,MARINE TERRACE,KAKA POINT,,,
"51 OWAI AVENUE, HELENA BAY, HIKURANGI",NZ,51,OWAI AVENUE,HIKURANGI,,,
"174 FORFAR STREET, MARYHILL, DUNEDIN",NZ,174,FORFAR STREET,DUNEDIN,,,
"70 RICCARTON ROAD WEST, MOSGIEL",NZ,70,RICCARTON ROAD WEST,MOSGIEL,,,
"88 HELENSBURGH ROAD, HALFWAY BUSH, DUNEDIN",NZ,88,HELENSBURGH ROAD,DUNEDIN,,,
"24 SARGOOD DRIVE, WANAKA",NZ,24,SARGOOD DRIVE,WANAKA,,,
"12 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,12,CORSTORPHINE ROAD,DUNEDIN,,,
"482 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,482,SOUTH ROAD,DUNEDIN,,,
"39 AJAX STREET, MILTON",NZ,39,AJAX STREET,MILTON,,,
"86 PANMURE AVENUE, CALTON HILL, DUNEDIN",NZ,86,PANMURE AVENUE,DUNEDIN,,,
"38 MOTU STREET, SAINT CLAIR, DUNEDIN",NZ,38,MOTU STREET,DUNEDIN,,,
"58 CLINTON HIGHWAY, TE HOUKA, BALCLUTHA",NZ,58,CLINTON HIGHWAY,BALCLUTHA,,,
"17 NOTTINGHAM CRESCENT, CALTON HILL, DUNEDIN",NZ,17,NOTTINGHAM CRESCENT,DUNEDIN,,,
"65 GLEN ROAD, MORNINGTON, DUNEDIN",NZ,65,GLEN ROAD,DUNEDIN,,,
"21 GOLDRIDGE WAY, QUEENSTOWN",NZ,21,GOLDRIDGE WAY,QUEENSTOWN,,,
"19A WILSON PLACE, PAPAKURA",NZ,19A,WILSON PLACE,PAPAKURA,,,
"85 MCDONNELL ROAD, ARROWTOWN",NZ,85,MCDONNELL ROAD,ARROWTOWN,,,
"230 KENMURE ROAD, KENMURE, DUNEDIN",NZ,230,KENMURE ROAD,DUNEDIN,,,
"103 THOMAS ROAD, HUNTINGTON, HAMILTON",NZ,103,THOMAS ROAD,HAMILTON,,,
"13 MACKINNON TERRACE, SUNSHINE BAY, QUEENSTOWN",NZ,13,MACKINNON TERRACE,QUEENSTOWN,,,
"676 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,676,PENINSULA ROAD,QUEENSTOWN,,,
"30 INDUSTRIAL PLACE, QUEENSTOWN",NZ,30,INDUSTRIAL PLACE,QUEENSTOWN,,,
"28 BRANXHOLM STREET, ROXBURGH",NZ,28,BRANXHOLM STREET,ROXBURGH,,,
"10 CHERRY COURT, WANAKA",NZ,10,CHERRY COURT,WANAKA,,,
"17 HERTFORD STREET, ARROWTOWN",NZ,17,HERTFORD STREET,ARROWTOWN,,,
"2047 OWAKA VALLEY ROAD, PUREKIREKI, OWAKA",NZ,2047,OWAKA VALLEY ROAD,OWAKA,,,
"8 PARSONS LANE, OTEMATATA",NZ,8,PARSONS LANE,OTEMATATA,,,
"41 CANONGATE, DUNEDIN CENTRAL, DUNEDIN",NZ,41,CANONGATE,DUNEDIN,,,
"1 INTREPID CRESCENT, BEACHLANDS, AUCKLAND",NZ,1,INTREPID CRESCENT,AUCKLAND,AUCKLAND,,
"85 MILLBROOK ROAD, WAIPU",NZ,85,MILLBROOK ROAD,WAIPU,,,
"26 FONT STREET, KAIKORAI, DUNEDIN",NZ,26,FONT STREET,DUNEDIN,,,
"5 GRETNA PLACE, MOSGIEL",NZ,5,GRETNA PLACE,MOSGIEL,,,
"1 PENRITH PARK DRIVE, WANAKA",NZ,1,PENRITH PARK DRIVE,WANAKA,,,
"1593 HUNT ROAD, PUREKIREKI, OWAKA",NZ,1593,HUNT ROAD,OWAKA,,,
"20 ISLE STREET, QUEENSTOWN",NZ,20,ISLE STREET,QUEENSTOWN,,,
"59 PERTH STREET, MOSGIEL",NZ,59,PERTH STREET,MOSGIEL,,,
"111 HARBOUR DRIVE, MATARANGI, WHITIANGA",NZ,111,HARBOUR DRIVE,WHITIANGA,,,
"11 MULFORD STREET, CONCORD, DUNEDIN",NZ,11,MULFORD STREET,DUNEDIN,,,
"14 GALLOWAY STREET, MORNINGTON, DUNEDIN",NZ,14,GALLOWAY STREET,DUNEDIN,,,
"35 RISELAW ROAD, CALTON HILL, DUNEDIN",NZ,35,RISELAW ROAD,DUNEDIN,,,
"71 GEORGE STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,71,GEORGE STREET,DUNEDIN,,,
"41 CARLYLE ROAD, MOSGIEL",NZ,41,CARLYLE ROAD,MOSGIEL,,,
"137 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,137,MIDDLETON ROAD,DUNEDIN,,,
"19A LOVATT CRESCENT, KENSINGTON, WHANGAREI",NZ,19A,LOVATT CRESCENT,WHANGAREI,,,
"3 PANNERS WAY, QUEENSTOWN",NZ,3,PANNERS WAY,QUEENSTOWN,,,
"40 CRAMMOND AVENUE, CORSTORPHINE, DUNEDIN",NZ,40,CRAMMOND AVENUE,DUNEDIN,,,
"82 OAKGROVE DRIVE, RANGIORA",NZ,82,OAKGROVE DRIVE,RANGIORA,,,
"88 UPTON STREET, WANAKA",NZ,88,UPTON STREET,WANAKA,,,
